Blunt Object,Category of Force Event - Measured at Event Level,Disposition/Custody,DOW,Firearm,Firearm - Implied,Firearm - Replica,Force Applied - 1,Force Applied - 2,Force Applied - 3,Force Applied - 4,Force Applied - 5,Force Applied - 6,Force Applied - 7,Force Applied - 8,Hour (6Hr),Initial Call Category,Initial Call type,Knife / Edged Weapon / Stabbing Instrument,"Mental Health Crisis - Prior to Force, Perceived Lack of Compliance",Month,Needle / Spit / Bodily Fluids,No weapon (unarmed),Officer,Officer Precinct,Officer Tenure,Other Weapon,Record ID,Subject,Subject - Race,Subject - Sex,Subject - Transient,Subject Age,Subject Instance,Subject Resistance - 1,Subject Resistance - 2,Subject Resistance - 3,Subject Resistance - 4,Subject Resistance - 5,Subject Resistance - 6,Subject Resistance - 7,Subject Resistance - 8,Type of Call,"Under the Influence of Alcohol - Prior to Force, Perceived Condition","Under the Influence of Drugs - Prior to Force, Perceived Condition",Weapon Present or reported but not used or threatened use,Year,Record Count,Record Count
,,Arrest-Felony,SUN,,,,CEW,CEW,CEW,,,,,,-,Stolen Vehicle,VEHICLE RECOVERED,,,August,,No weapon (unarmed),212461,East Precinct,8.773820396,,675518304,500540,White,Male,Yes,39.913546423,500540675518304,Active,Active,Active,,,,,,Dispatched,,Yes,,2017,1,1
,,Arrest-Felony,SUN,,,,PFA,,,,,,,,-,Shots Fired,SHOTS FIRED,,No,August,,,836731,East Precinct,1.542665525,,477518302,466101,Black,Male,No,27.591980594,466101477518302,Active,,,,,,,,Self-Initiated,Yes,,Weapon Present or reported but not used or threatened use,2017,1,1
,,Arrest-Felony,SUN,,,,PFA,,,,,,,,-,Shots Fired,SHOTS FIRED,,No,August,,,649511,East Precinct,8.446784627,,477518302,466101,Black,Male,No,27.591990107,466101477518302,Active,,,,,,,,Self-Initiated,,,Weapon Present or reported but not used or threatened use,2017,1,1
,,Arrest-Felony,SUN,,,,PFA,,,,,,,,-,Stolen Vehicle,VEHICLE STOLEN - PRIORITY,,,July,,,798721,East Precinct,5.043689117,,357518041,614942,White,Male,No,25.210812405,614942357518041,Active,,,,,,,,Dispatched,,,Weapon Present or reported but not used or threatened use,2017,1,1
,,Arrest-Felony,SUN,,,,PFA,,,,,,,,-,Welfare Check,WELFARE CHECK - PRIORITY,,,August,,No weapon (unarmed),1053550,East Precinct,15.716990107,,19518308,371478,White,Male,Yes,31.678633942,37147819518308,Active,,,,,,,,Dispatched,,Yes,,2017,1,1
,,Arrest-Felony,SUN,,,,Takedown,,,,,,,,-,Suspicious,SUSPICIOUS - PRIORITY,,Unclear,July,,No weapon (unarmed),1087651,East Precinct,6.165812405,,343517861,414626,Black,Male,Yes,33.368552131,414626343517861,Active,,,,,,,,Dispatched,,Yes,,2017,1,1
,,Arrest-Misdemeanor,SUN,,,,Less Lethal,,,,,,,,-,Disturbance,DISTURBANCE - WITH WEAPON *H,,No,July,,,797721,East Precinct,4.983753805,,744517765,557140,Hispanic,Male,No,24.833068874,557140744517765,Aggressive,,,,,,,,Dispatched,Yes,No,Weapon Present or reported but not used or threatened use,2017,1,1
,,Arrest-Misdemeanor,SUN,,,,PFA,,,,,,,,-,Disturbance,DISTURBANCE - WITH WEAPON *H,,No,July,,,213461,East Precinct,1.696082572,,744517765,557140,Hispanic,Male,No,24.833068874,557140744517765,Aggressive,,,,,,,,Dispatched,Yes,,Weapon Present or reported but not used or threatened use,2017,1,1
,,Arrest-Misdemeanor,SUN,,,,PFA,PFA,,,,,,,-,Disturbance,DISTURBANCE - WITH WEAPON *H,,No,July,,,1102751,East Precinct,4.476856925,,744517765,557140,Hispanic,Male,No,24.833021309,557140744517765,Aggressive,Aggressive,,,,,,,Dispatched,Yes,,Weapon Present or reported but not used or threatened use,2017,1,1
,,Arrest-Misdemeanor,SUN,,,,Takedown,,,,,,,,-,Disturbance,DISTURBANCE - PRIORITY,,,July,,No weapon (unarmed),806220,North Precinct,10.543476027,,176517949,381478,White,Male,Yes,38.674982877,381478176517949,Active,,,,,,,,Dispatched,,Yes,,2017,1,1
,,Arrest-Misdemeanor,SUN,,,,Takedown,,,,,,,,-,Disturbance,DISTURBANCE - PRIORITY,,,July,,No weapon (unarmed),1062150,North Precinct,11.151655251,,176517949,381478,White,Male,Yes,38.674942922,381478176517949,Active,,,,,,,,Dispatched,,Yes,,2017,1,1
,,Arrest-Misdemeanor,SUN,,,,Takedown,,,,,,,,-,Unwanted Person,UNWANTED PERSON,Knife / Edged Weapon / Stabbing Instrument,No,July,,,214861,Central Precinct,0.248734779,,511517772,535640,White,Male,Yes,35.185721081,535640511517772,Active,,,,,,,,Self-Initiated,Yes,Yes,,2017,1,1
,,Arrest-Misdemeanor,SUN,,,,Takedown,,,,,,,,-,Unwanted Person,UNWANTED PERSON,Knife / Edged Weapon / Stabbing Instrument,No,July,,,148661,Central Precinct,5.993940259,,511517772,535640,White,Male,Yes,35.185721081,535640511517772,Active,,,,,,,,Self-Initiated,Yes,,,2017,1,1
,,Arrest-Misdemeanor,SUN,,,,Takedown,,,,,,,,-,Unwanted Person,UNWANTED PERSON,Knife / Edged Weapon / Stabbing Instrument,No,July,,,920631,Central Precinct,6.339145738,,511517772,535640,White,Male,Yes,35.185721081,535640511517772,Aggressive,,,,,,,,Self-Initiated,Yes,,,2017,1,1
,,Arrest-Misdemeanor,SUN,,Firearm - Implied,,CEW,Takedown,CEW,,,,,,-,Warrant,WARRANT,,,July,,,166661,North Precinct,6.051409817,,243518080,515811,Black,Male,No,26.232231735,515811243518080,Active,Active,Active,,,,,,Self-Initiated,,,,2017,1,1
,,Arrest-Misdemeanor,SUN,,Firearm - Implied,,Takedown,CHWI,Takedown,,,,,,-,Warrant,WARRANT,,,July,,,243671,North Precinct,5.867848174,,243518080,515811,Black,Male,No,26.232231735,515811243518080,Active,Active,Active,,,,,,Self-Initiated,,,,2017,1,1
,,Arrest-Warrant,SUN,,,,PFA,,,,,,,,-,Subject Stop,PERSON CONTACT (86),,No,August,,No weapon (unarmed),326279,Central Precinct,9.810492770,,359518221,601059,White,Male,Yes,29.889944825,601059359518221,Active,,,,,,,,Self-Initiated,,,,2017,1,1
,,Arrest-Warrant,SUN,,,,PFA,,,,,,,,-,Warrant,WARRANT,,No,July,,No weapon (unarmed),172561,East Precinct,7.487775875,,728517765,548041,White,Male,No,25.150789574,548041728517765,Active,,,,,,,,Dispatched,,,,2017,1,1
,,Arrest-Warrant,SUN,,,,Takedown,,,,,,,,-,Other,DETAIL,,No,July,,No weapon (unarmed),276671,Central Precinct,7.411278539,,481518122,413207,White,Male,No,22.509908676,413207481518122,Active,,,,,,,,Self-Initiated,Yes,,,2017,1,1
,,Detained and Released,SUN,,,,PFA,,,,,,,,-,Shots Fired,SHOTS FIRED,,No,August,,,836731,East Precinct,1.542665525,,477518302,435380,White,Female,No,23.504309361,435380477518302,Passive,,,,,,,,Self-Initiated,,,Weapon Present or reported but not used or threatened use,2017,1,1
,,Detained and Released,SUN,,,,PFA,,,,,,,,-,Shots Fired,SHOTS FIRED,,No,August,,,649511,East Precinct,8.446784627,,477518302,435380,White,Female,No,23.504318874,435380477518302,Passive,,,,,,,,Self-Initiated,,,Weapon Present or reported but not used or threatened use,2017,1,1
,,Release to Medical,SUN,,,,Takedown,,,,,,,,-,Welfare Check,WELFARE CHECK - PRIORITY,,Yes,July,,No weapon (unarmed),808220,North Precinct,10.543373288,,153517949,275848,Black,Female,No,26.713236301,275848153517949,Aggressive,,,,,,,,Dispatched,,,,2017,1,1
,,Arrest-Felony,MON,,,,K9,,,,,,,,-,Assist,ASSIST - CITIZEN OR AGENCY,,,July,,No weapon (unarmed),880630,K9,15.583957382,,889518046,457547,White,Male,No,59.025053272,457547889518046,Active,,,,,,,,Dispatched,,,,2017,1,1
,,Arrest-Felony,MON,,,,Takedown,,,,,,,,-,Subject Stop,PERSON CONTACT (86),,,August,,No weapon (unarmed),1056551,Central Precinct,2.216453577,,520518313,590225,White,Male,No,39.975357686,590225520518313,Active,,,,,,,,Self-Initiated,,,,2017,1,1
,,Arrest-Misdemeanor,MON,,,,PFA,,,,,,,,-,Threat,THREAT - PRIORITY,,,July,,,650810,Central Precinct,13.839726027,,146518049,3696548,Black,Male,No,25.957534247,3696548146518049,Passive,,,,,,,,Dispatched,,,Weapon Present or reported but not used or threatened use,2017,1,1
,,Arrest-Misdemeanor,MON,,,,Takedown,,,,,,,,-,Disturbance,DISTURBANCE - PRIORITY,,,August,,No weapon (unarmed),501691,North Precinct,5.688184932,,672518314,420924,White,Male,No,20.216952055,420924672518314,Active,,,,,,,,Dispatched,,,,2017,1,1
,,Arrest-Misdemeanor,MON,,,,Takedown,Strikes/kicks,,,,,,,-,Threat,THREAT - PRIORITY,,,August,,No weapon (unarmed),1010941,Central Precinct,2.562538052,,757518045,3822814,Black,Female,Yes,36.091305175,3822814757518045,Aggressive,Active,,,,,,,Dispatched,,,,2017,1,1
,,Arrest-Misdemeanor,MON,,,,Takedown,Strikes/kicks,,,,,,,-,Threat,THREAT - PRIORITY,,,August,,No weapon (unarmed),1042951,Central Precinct,2.562538052,,757518045,3822814,Black,Female,Yes,36.091305175,3822814757518045,Aggressive,Active,,,,,,,Dispatched,,,,2017,1,1
,,Arrest-Warrant,MON,,,,PFA,,,,,,,,-,Disturbance,DISTURBANCE - PRIORITY,,No,July,,No weapon (unarmed),882128,North Precinct,25.441381279,,719518135,440042,Hispanic,Male,Yes,22.142751142,440042719518135,Passive,,,,,,,,Dispatched,,,,2017,1,1
,,Arrest-Warrant,MON,,,,Takedown,,,,,,,,-,Warrant,WARRANT,,,August,,,967940,North Precinct,9.257477169,,887518326,258975,White,Male,Yes,50.153367580,258975887518326,Active,,,,,,,,Dispatched,,Yes,Weapon Present or reported but not used or threatened use,2017,1,1
,,Detained and Released,MON,,,,PFA,,,,,,,,-,Suspicious,SUSPICIOUS - WITH WEAPON *H,,,July,,,175560,North Precinct,15.988993531,,272517880,162708,Black,Male,Yes,45.202692161,162708272517880,Passive,,,,,,,,Dispatched,,,Weapon Present or reported but not used or threatened use,2017,1,1
,,Detained and Released,MON,Firearm,,,PFA,,,,,,,,-,Stolen Vehicle,VEHICLE STOLEN - COLD,,,July,,,501691,North Precinct,5.649609970,,72518118,440042,Hispanic,Male,Yes,22.142760654,44004272518118,Active,,,,,,,,Self-Initiated,,,,2017,1,1
,,Detained and Released,MON,Firearm,,,PFA,,,,,,,,-,Stolen Vehicle,VEHICLE STOLEN - COLD,,,July,,,501691,North Precinct,5.649609970,,72518118,486801,Native American,Male,Yes,24.841390791,48680172518118,Active,,,,,,,,Self-Initiated,,,,2017,1,1
,,Escaped,MON,,,,PFA,,,,,,,,-,Alarm,ALARM - AUDIBLE / MONITORED,,,August,,No weapon (unarmed),791219,North Precinct,18.096366058,,752518225,,White,Male,,117.682667428,,Active,,,,,,,,Dispatched,,,,2017,1,1
,,Release to Medical,MON,,,,Less Lethal,Less Lethal,Less Lethal,Less Lethal,Less Lethal,Less Lethal,,,-,Disturbance,DISTURBANCE - PRIORITY,Knife / Edged Weapon / Stabbing Instrument,Yes,August,,,368581,Central Precinct,6.591341324,,584518233,624149,White,Male,Yes,38.314628995,624149584518233,Active,Active,Active,Active,Active,Active,,,Dispatched,Yes,Yes,,2017,1,1
,,Release to Medical,MON,,,,PFA,,,,,,,,-,Assault,SHOOTING - WITH WEAPON *H,,,July,,,202461,North Precinct,8.681255708,,733517875,168270,Black,Male,No,71.990844749,168270733517875,Passive,,,,,,,,Dispatched,,,Weapon Present or reported but not used or threatened use,2017,1,1
,,Release to Medical,MON,,,,PFA,,,,,,,,-,Disturbance,DISTURBANCE - PRIORITY,Knife / Edged Weapon / Stabbing Instrument,Yes,August,,,326279,Central Precinct,9.813270548,,584518233,624149,White,Male,Yes,38.314640411,624149584518233,Active,,,,,,,,Dispatched,Yes,Yes,,2017,1,1
,,Arrest-Felony,TUE,,,,PFA,,,,,,,,-,Subject Stop,PERSON CONTACT (86),,,July,,,1064051,North Precinct,1.397168950,,501517982,534233,Hispanic,Male,No,31.712237443,534233501517982,Active,,,,,,,,Self-Initiated,,Yes,Weapon Present or reported but not used or threatened use,2017,1,1
,,Arrest-Misdemeanor,TUE,,,,PFA,,,,,,,,-,Domestic Violence,DISTURBANCE - DOMESTIC - WITH WEAPON *H,,No,July,,,607097,East Precinct,23.372754947,,212517790,1389053,White,Male,No,34.679604262,1389053212517790,Passive,,,,,,,,Dispatched,Yes,,Weapon Present or reported but not used or threatened use,2017,1,1
,,Arrest-Misdemeanor,TUE,,,,PFA,,,,,,,,-,TriMet,TRIMET INCIDENT - WITH WEAPON *H,,,July,,,349979,TOD,19.327168950,,549517883,606118,Hispanic,Male,No,18.554566210,606118549517883,Passive,,,,,,,,Dispatched,Yes,,Weapon Present or reported but not used or threatened use,2017,1,1
,,Arrest-Misdemeanor,TUE,,,,PFA,,,,,,,,-,TriMet,TRIMET INCIDENT - WITH WEAPON *H,,,July,,,198958,Transit (PPB Only),27.118921233,,549517883,606118,Hispanic,Male,No,18.554537671,606118549517883,Passive,,,,,,,,Dispatched,Yes,,Weapon Present or reported but not used or threatened use,2017,1,1
