"","call_detail","call_group","call_source","civil_age","civil_age_f","civil_drug","civil_etoh","civil_id","civil_instance","civil_mental","civil_race","civil_sex","civil_transient","force1","force2","force3","force4","force5","force6","force7","force8","force1_any","force2_any","force3_any","force4_any","force5_any","force6_any","force7_any","force8_any","force_officer_sum","incid_force_lev","incid_force_calc","incid_day","incid_disp","incid_id","incid_month","incid_sixhour","incid_year","officer_id","officer_precinct","officer_precinct_collapsed","officer_tenure","officer_tenure_f","resist1","resist2","resist3","resist4","resist5","resist6","resist7","resist8","threat_biohaz","threat_blunt","threat_gun","threat_gun_implied","threat_gun_replica","threat_knife","threat_other","threat_unused_weapon","threat_unarmed","threat_sum","recordcount_1","recordcount_2"
"1","THREAT - COLD","Threat","Self-Initiated",47.090011416,"35-49","0","0",265840,680527834265840,"0","Black","Male","Yes","Takedown (II and III)","Resisted HC",NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,2,"III","2","Wednesday","Arrest-Felony",680527834,"June","1800-2359",2018,813721,"Central Precinct","Central Precinct",NA,NA,"Active","Active",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"2","ASSAULT - PRIORITY","Assault","Dispatched",33.37739726,"25-34","0","1",569699,457526762569699,"0","White","Male","No","Control Against Resistance","Control Against Resistance","Control Against Resistance",NA,NA,NA,NA,NA,1,1,1,0,0,0,0,0,3,"IV","1","Monday","Arrest-Misdemeanor",457526762,"April","1800-2359",2018,275971,"Central Precinct","Central Precinct",NA,NA,"Active","Active","Active",NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,1,1,1
"3","MEDICAL ASSIST","Assist","Dispatched",14,"0-14","0","0",1507018,151056127,"1","White","Female","No","Control Against Resistance","Takedown (IV)","Resisted HC",NA,NA,NA,NA,NA,1,1,1,0,0,0,0,0,3,"II","3","Monday","Release to Medical",149549109,"November","1800-2359",2020,558502,"East Precinct","East Precinct",0,"[0-2]","Aggressive","Aggressive","Aggressive",NA,NA,NA,NA,NA,0,0,0,0,0,0,1,0,0,1,1,1
"4","MEDICAL ASSIST","Assist","Dispatched",14,"0-14","0","0",1507018,151056127,"1","White","Female","No","Resisted HC","Takedown (IV)","Control Against Resistance",NA,NA,NA,NA,NA,1,1,1,0,0,0,0,0,3,"II","3","Monday","Release to Medical",149549109,"November","1800-2359",2020,578502,"East Precinct","East Precinct",0,"[0-2]","Aggressive","Aggressive","Aggressive",NA,NA,NA,NA,NA,0,0,0,0,0,0,1,0,0,1,1,1
"5","ASSIST - CITIZEN OR AGENCY","Assist","Dispatched",18,"15-24","0","0",1311756,502847788,"1","White","Female","No","Control Against Resistance","Control Against Resistance","Control Against Resistance",NA,NA,NA,NA,NA,1,1,1,0,0,0,0,0,3,"IV","1","Thursday","Release to Medical",501536032,"January","1200-1759",2019,1064351,"Training","Other",0,"[0-2]","Active","Active","Active",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"6","TRAFFIC PURSUIT *H","Escape/Pursuit","Self-Initiated",19,"15-24","0","0",4164746,668720710,"0","Black","Male","No","Takedown (II and III)",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"III","2","Monday","Arrest-Felony",664555964,"February","0000-0559",2021,1055552,"East Precinct","East Precinct",0,"[0-2]","Aggressive",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"7","PERSON CONTACT (86)","Subject Stop","Self-Initiated",19,"15-24","0","0",4011386,794558261,"0","White","Male","Yes","Box-in VIS",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Monday","Arrest-Felony",790546875,"April","0600-1159",2020,241472,"East Precinct","East Precinct",0,"[0-2]","Passive",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"8","ASSAULT - PRIORITY","Assault","Dispatched",19,"15-24","0","1",575272,829132078,"0","White","Female","Yes","Resisted HC",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Tuesday","Arrest-Misdemeanor",828556806,"April","1200-1759",2021,1085552,"Central Precinct","Central Precinct",0,"[0-2]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"9","ECIT","Behavioral Health","Dispatched",19,"15-24","1","0",1780961,776327646,"1","White","Female","No","Control Against Resistance","Control Against Resistance",NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,2,"IV","1","Friday","Release to Medical",774546685,"March","0600-1159",2020,340482,"Central Precinct","Central Precinct",0,"[0-2]","Active","Active",NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,1,1,1
"10","DRIVING UNDER INFLUENCE","DUII","Dispatched",20,"15-24","0","1",1486170,436042242,"0","Hispanic","Male","No","Takedown (II and III)","Resisted HC",NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,2,"III","2","Friday","Arrest-Misdemeanor",434556072,"February","0600-1159",2021,711512,"North Precinct","North Precinct",0,"[0-2]","Active","Active",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,1,1
